Cluster.number	genenames
Cluster 11	Snhg11
Cluster 11	Snrpd2
Cluster 11	Snrpg
Cluster 11	Snx10
Cluster 11	Snx7
Cluster 11	Spcs3
Cluster 11	Spidr
Cluster 11	Spock3
Cluster 11	Sprtn
Cluster 11	Sqrdl
Cluster 11	Srxn1
Cluster 11	Ssbp1
Cluster 11	St3gal4
Cluster 11	Stradb
Cluster 11	Stt3b
Cluster 11	Stx3
Cluster 11	Sun1
Cluster 11	Syndig1
Cluster 11	Synpr
Cluster 11	Sypl1
Cluster 11	Taco1
Cluster 11	Taf1b
Cluster 11	Tagln
Cluster 11	Tatdn3
Cluster 11	Taz
Cluster 11	Tbc1d19
Cluster 11	Tbce
Cluster 11	Tbk1
Cluster 11	Tctn1
Cluster 11	Tek
Cluster 11	Tfdp1
Cluster 11	Tgds
Cluster 11	Tgfbr1
Cluster 11	Thoc1
Cluster 11	Thsd7b
Cluster 11	Tia1
Cluster 11	Tifa
Cluster 11	Tifab
Cluster 11	Tigar
Cluster 11	Tiprl
Cluster 11	Tlr2
Cluster 11	Tm4sf1
Cluster 11	Tm4sf4
Cluster 11	Tmed2
Cluster 11	Tmem101
Cluster 11	Tmem128
Cluster 11	Tmem18
Cluster 11	Tmem186
Cluster 11	Tmem230
Cluster 11	Tmem261
Cluster 11	Tmem30a
Cluster 11	Tmem39a
Cluster 11	Tmem59
Cluster 11	Tmem67
Cluster 11	Tmprss5
Cluster 11	Tmtc2
Cluster 11	Tmtc4
Cluster 11	Tnc
Cluster 11	Tnfrsf11b
Cluster 11	Tomm40l
Cluster 11	Tph2
Cluster 11	Tpi1
Cluster 11	Trappc2
Cluster 11	Trdmt1
Cluster 11	Trim16
Cluster 11	Trim21
Cluster 11	Trim36
Cluster 11	Trip10
Cluster 11	Trip4
Cluster 11	Triqk
Cluster 11	Tsc22d3
Cluster 11	Tsen2
Cluster 11	Tsnax
Cluster 11	Tspan31
Cluster 11	Tti2
Cluster 11	Txn1
Cluster 11	Txndc5
Cluster 11	Ube2d4
Cluster 11	Uck1
Cluster 11	Ufsp2
Cluster 11	Unc50
Cluster 11	Upp1
Cluster 11	Usmg5
Cluster 11	Usp18
Cluster 11	Vezt
Cluster 11	Vopp1
Cluster 11	Vps11
Cluster 11	Vwa9
Cluster 11	Vwf
Cluster 11	Wdhd1
Cluster 11	Wdr5b
Cluster 11	Wdr92
Cluster 11	Wnt9a
Cluster 11	Xpo1
Cluster 11	Yipf6
Cluster 11	Ykt6
Cluster 11	Ywhaq
Cluster 11	Zbtb1
Cluster 11	Zbtb40
Cluster 11	Zdhhc13
Cluster 11	Zfp385d
Cluster 11	Zfp410
Cluster 11	Zfp455
Cluster 11	Zfp53
Cluster 11	Zfp597
Cluster 11	Zfp61
Cluster 11	Zfp639
Cluster 11	Zfp655
Cluster 11	Zfp868
Cluster 11	Zfp94
Cluster 11	Zfp958
Cluster 11	Zmpste24
Cluster 12	Aadat
Cluster 12	Abcg2
Cluster 12	Abhd6
Cluster 12	Abracl
Cluster 12	Acaa2
Cluster 12	Acadm
Cluster 12	Acot13
Cluster 12	Acot9
Cluster 12	Acsbg1
Cluster 12	Acss2
Cluster 12	Actl6a
Cluster 12	Actr2
Cluster 12	Adhfe1
Cluster 12	Adk
Cluster 12	Adsl
Cluster 12	Afap1l2
Cluster 12	Aifm1
Cluster 12	Akr1b1
Cluster 12	Aktip
Cluster 12	Alas2
Cluster 12	Alb
Cluster 12	Aldh1a1
Cluster 12	Aldh9a1
Cluster 12	Alg11
Cluster 12	Alg2
Cluster 12	Alg8
Cluster 12	Alkbh3
Cluster 12	Alkbh8
Cluster 12	Alox5ap
Cluster 12	Ankmy2
Cluster 12	Anxa2
Cluster 12	Aoc3
Cluster 12	Aox1
Cluster 12	Ap3s2
Cluster 12	Ap4b1
Cluster 12	Apol3
Cluster 12	Apool
Cluster 12	Arfip1
Cluster 12	Arfrp1
Cluster 12	Arl3
Cluster 12	Arl6ip1
Cluster 12	Armc3
Cluster 12	Arpc5
Cluster 12	Art3
Cluster 12	Arv1
Cluster 12	Asgr1
Cluster 12	Ash2l
Cluster 12	Asl
Cluster 12	Aspa
Cluster 12	Atg3
