Cluster.number	genenames
Cluster 3	Esam
Cluster 3	Exoc3l1
Cluster 3	Exosc5
Cluster 3	Fam110a
Cluster 3	Fam181b
Cluster 3	Fam195b
Cluster 3	Fam217b
Cluster 3	Fam98c
Cluster 3	Fbln1
Cluster 3	Fbxo2
Cluster 3	Fbxo44
Cluster 3	Fbxw5
Cluster 3	Fbxw9
Cluster 3	Fdxr
Cluster 3	Fem1a
Cluster 3	Fgf1
Cluster 3	Fgfr1
Cluster 3	Fhl3
Cluster 3	Flot1
Cluster 3	Flt3lg
Cluster 3	Fth1
Cluster 3	Fto
Cluster 3	Fxyd1
Cluster 3	G4
Cluster 3	Gaa
Cluster 3	Gadd45g
Cluster 3	Gak
Cluster 3	Gale
Cluster 3	Galk1
Cluster 3	Get4
Cluster 3	Gfap
Cluster 3	Ggt7
Cluster 3	Gipc1
Cluster 3	Glyctk
Cluster 3	Gnaz
Cluster 3	Gnb2
Cluster 3	Gng3
Cluster 3	Gnl1
Cluster 3	Gorasp1
Cluster 3	Gorasp2
Cluster 3	Gpd1
Cluster 3	Gpr27
Cluster 3	Gpr37l1
Cluster 3	Gpt2
Cluster 3	Gpx3
Cluster 3	Grid1
Cluster 3	Grn
Cluster 3	Gsn
Cluster 3	Gstm1
Cluster 3	Gstp1
Cluster 3	Hcfc1r1
Cluster 3	Hcn3
Cluster 3	Hcrtr1
Cluster 3	Hdac11
Cluster 3	Hdgfrp2
Cluster 3	Hk1
Cluster 3	Hmgcl
Cluster 3	Hmgcs2
Cluster 3	Hpcal4
Cluster 3	Hsf4
Cluster 3	Htr6
Cluster 3	Id1
Cluster 3	Ier2
Cluster 3	Igfbp6
Cluster 3	Ighmbp2
Cluster 3	Il11ra1
Cluster 3	Il34
Cluster 3	Il3ra
Cluster 3	Ilvbl
Cluster 3	Impa2
Cluster 3	Ino80e
Cluster 3	Inpp5d
Cluster 3	Isyna1
Cluster 3	Jakmip1
Cluster 3	Katnb1
Cluster 3	Kcnn3
Cluster 3	Kctd10
Cluster 3	Kctd7
Cluster 3	Khk
Cluster 3	Kif5c
Cluster 3	Klc1
Cluster 3	Klhdc8b
Cluster 3	Klhl17
Cluster 3	Klhl36
Cluster 3	Lamb2
Cluster 3	Lhfpl5
Cluster 3	Lhpp
Cluster 3	Lims2
Cluster 3	Lmna
Cluster 3	LOC100359977
Cluster 3	LOC688613
Cluster 3	LOC690617
Cluster 3	Loxl1
Cluster 3	Lrch1
Cluster 3	Lrwd1
Cluster 3	Ltc4s
Cluster 3	Ly6e
Cluster 3	Mafb
Cluster 3	Man2b2
Cluster 3	Mapre2
Cluster 3	Matk
Cluster 3	Mbp
Cluster 3	Med16
Cluster 3	Mfap2
Cluster 3	Mfge8
Cluster 3	MGC94207
Cluster 3	Mical1
Cluster 3	Mid1ip1
Cluster 3	Mlf2
Cluster 3	Mllt11
Cluster 3	Mlycd
Cluster 3	Mob3a
Cluster 3	Mpst
Cluster 3	Mri1
Cluster 3	Mrpl2
Cluster 3	Mrpl4
Cluster 3	Mtf1
Cluster 3	Mvb12a
Cluster 3	Mvk
Cluster 3	Mvp
Cluster 3	Mxd4
Cluster 3	Myh7b
Cluster 3	Myo1e
Cluster 3	Naga
Cluster 3	Naprt1
Cluster 3	Nat14
Cluster 3	Nat6
Cluster 3	Ncam1
Cluster 3	Nckipsd
Cluster 3	Nefl
Cluster 3	Nell2
Cluster 3	Nfkbib
Cluster 3	Nfkbie
Cluster 3	Ngfr
Cluster 3	Ninj1
Cluster 3	Nkd2
Cluster 3	Nkiras2
Cluster 3	Nlrx1
Cluster 3	Nnat
Cluster 3	Nos1ap
Cluster 3	Nos3
Cluster 3	Nosip
Cluster 3	Npas1
Cluster 3	Npdc1
Cluster 3	Nrep
Cluster 3	Nrp2
Cluster 3	Nsf
Cluster 3	Nsg2
Cluster 3	Nsmf
Cluster 3	Nsun5
Cluster 3	Oaz1
Cluster 3	Ogdh
Cluster 3	Ogfod2
Cluster 3	Ogfr
Cluster 3	Olig1
Cluster 3	Otub1
Cluster 3	Pacsin3
Cluster 3	Paqr4
Cluster 3	Pbxip1
Cluster 3	Pcdha3
Cluster 3	Pcdhac2
Cluster 3	Pcdhga2
Cluster 3	Pdap1
Cluster 3	Pdlim4
Cluster 3	Pebp1
Cluster 3	Peli3
Cluster 3	Pfkl
Cluster 3	Pgls
Cluster 3	Phc3
Cluster 3	Pkn1
Cluster 3	Plbd2
Cluster 3	Pld4
Cluster 3	Plekhf1
Cluster 3	Plxnb2
Cluster 3	Pnoc
Cluster 3	Pofut2
Cluster 3	Pold1
Cluster 3	Polr2e
Cluster 3	Pomgnt2
Cluster 3	Por
Cluster 3	Ppan
Cluster 3	Ppdpf
Cluster 3	Ppme1
Cluster 3	Ppp1r14a
Cluster 3	Ppp1r15a
Cluster 3	Prelid1
Cluster 3	Prelp
Cluster 3	Prkar1b
Cluster 3	Prkcdbp
Cluster 3	Prkcsh
Cluster 3	Prr13
Cluster 3	Prr5
Cluster 3	Prrc1
Cluster 3	Psen2
Cluster 3	Psmf1
Cluster 3	Ptges2
Cluster 3	Ptp4a3
Cluster 3	Pvrl2
Cluster 3	Pygm
Cluster 3	Rab36
Cluster 3	Rab3a
Cluster 3	Rab3b
Cluster 3	Rab4b
Cluster 3	Rabep2
Cluster 3	Raly
Cluster 3	Rangap1
Cluster 3	Rap2b
Cluster 3	Rassf7
Cluster 3	Reep2
Cluster 3	RGD1309594
Cluster 3	RGD1310127
Cluster 3	RGD1311084
Cluster 3	RGD1562084
Cluster 3	Rhbdd2
Cluster 3	Rhbdl1
Cluster 3	Rilpl1
Cluster 3	Rims3
Cluster 3	Rin3
Cluster 3	Rnasek
Cluster 3	Rnf10
Cluster 3	Rnf144a
Cluster 3	Rnf187
Cluster 3	Rogdi
Cluster 3	Rptor
Cluster 3	Rsph6a
Cluster 3	Rxrg
Cluster 3	Safb2
Cluster 3	Sardh
Cluster 3	Sars2
Cluster 3	Scarf1
Cluster 3	Scly
Cluster 3	Sdr39u1
Cluster 3	Sertad1
Cluster 3	Sfxn5
Cluster 3	Sgca
Cluster 3	Sgpp2
Cluster 3	Sh3bgrl3
Cluster 3	Sh3rf1
Cluster 3	Shkbp1
Cluster 3	Sil1
Cluster 3	Sipa1
Cluster 3	Sirt2
Cluster 3	Sirt7
Cluster 3	Slc13a4
Cluster 3	Slc19a1
Cluster 3	Slc25a34
Cluster 3	Slc25a39
Cluster 3	Slc29a3
Cluster 3	Slc35b2
Cluster 3	Slc35f6
Cluster 3	Slc38a7
Cluster 3	Slc39a7
Cluster 3	Slc48a1
Cluster 3	Slc52a3
Cluster 3	Slc6a11
Cluster 3	Slc7a4
Cluster 3	Slc9a3r1
Cluster 3	Smg9
Cluster 3	Smim1
Cluster 3	Smox
Cluster 3	Smpd2
Cluster 3	Smtn
Cluster 3	Snrpb
Cluster 3	Snx15
Cluster 3	Sparc
Cluster 3	Spg7
Cluster 3	Spock1
Cluster 3	Spryd3
Cluster 3	Sqstm1
Cluster 3	Sst
Cluster 3	St3gal3
Cluster 3	Stard3
Cluster 3	Stat5b
Cluster 3	Stk19
Cluster 3	Strn4
Cluster 3	Stub1
Cluster 3	Surf6
Cluster 3	Susd2
Cluster 3	Syt12
Cluster 3	Syt3
Cluster 3	Syt5
Cluster 3	Szrd1
Cluster 3	Tbc1d25
Cluster 3	Tbcc
Cluster 3	Tcap
Cluster 3	Tcea2
Cluster 3	Tenm4
Cluster 3	Tex264
Cluster 3	Tfip11
Cluster 3	Th
Cluster 3	Thap3
Cluster 3	Them6
Cluster 3	Tigd5
Cluster 3	Tmcc2
Cluster 3	Tmem109
Cluster 3	Tmem114
Cluster 3	Tmem115
Cluster 3	Tmem119
Cluster 3	Tmem180
Cluster 3	Tmem255b
Cluster 3	Tmem9
Cluster 3	Tmprss9
Cluster 3	Tmub1
Cluster 3	Tom1
Cluster 3	Tppp3
Cluster 3	Tpra1
Cluster 3	Trabd
Cluster 3	Trex1
Cluster 3	Trib1
Cluster 3	Trim54
Cluster 3	Trmt1
Cluster 3	Trpc7
Cluster 3	Tspan17
Cluster 3	Tssc4
Cluster 3	Tuba8
Cluster 3	Tubg2
Cluster 3	Uba1
Cluster 3	Ube2g2
Cluster 3	Ubl7
Cluster 3	Ubtd1
Cluster 3	Urgcp
Cluster 3	Usp21
Cluster 3	Usp49
Cluster 3	Vapb
Cluster 3	Vwa1
Cluster 3	Wdr18
Cluster 3	Wdr34
Cluster 3	Wdr6
Cluster 3	Wfdc1
Cluster 3	Wscd1
Cluster 3	Xab2
Cluster 3	Ydjc
Cluster 3	Yipf3
Cluster 3	Zbtb48
Cluster 3	Zdhhc12
Cluster 3	Zdhhc22
Cluster 3	Zfp36
Cluster 3	Zfp414
Cluster 3	Zfp523
Cluster 3	Zfp64
Cluster 3	Zfp689
Cluster 3	Znfx1
Cluster 4	Abcb8
Cluster 4	Abcd1
Cluster 4	Ablim2
Cluster 4	Abtb1
Cluster 4	Acads
Cluster 4	Ace
Cluster 4	Acot11
Cluster 4	Acot8
Cluster 4	Acox3
Cluster 4	Acta2
Cluster 4	Actb
Cluster 4	Acvr1b
Cluster 4	Adamts10
Cluster 4	Adck4
Cluster 4	Akap1
Cluster 4	Akap8l
Cluster 4	Akt2
Cluster 4	Aldoa
Cluster 4	Amdhd2
Cluster 4	Amigo1
Cluster 4	Amz1
Cluster 4	Ap1s1
Cluster 4	Ap2a2
Cluster 4	Ap4m1
Cluster 4	Apbb3
Cluster 4	Arl10
Cluster 4	Arl4d
Cluster 4	Armc6
Cluster 4	Arpc4
Cluster 4	Arsb
Cluster 4	Asb2
Cluster 4	Ascc2
Cluster 4	Atg13
Cluster 4	Atg7
Cluster 4	Atp6v0a2
Cluster 4	Axl
Cluster 4	Bcat2
Cluster 4	Bcl2l13
Cluster 4	Capn10
Cluster 4	Capn5
Cluster 4	Car11
Cluster 4	Casc3
Cluster 4	Ccdc22
Cluster 4	Cd99
Cluster 4	Cdc37
Cluster 4	Cend1
Cluster 4	Cirbp
Cluster 4	Ckb
Cluster 4	Clasrp
Cluster 4	Clstn3
Cluster 4	Cplx1
Cluster 4	Crkl
Cluster 4	Csrnp1
Cluster 4	Ctsd
Cluster 4	Cyth1
Cluster 4	Dbn1
Cluster 4	Deaf1
Cluster 4	Dffb
Cluster 4	Dgcr14
Cluster 4	Dhcr24
Cluster 4	Diras2
Cluster 4	Dlk2
Cluster 4	Dmtn
Cluster 4	Doc2a
Cluster 4	Dph1
Cluster 4	Dtx3
Cluster 4	Dus3l
Cluster 4	E4f1
Cluster 4	Ehd2
Cluster 4	Eif4h
Cluster 4	Emilin1
Cluster 4	Enthd2
Cluster 4	Ephb2
Cluster 4	Erbb3
Cluster 4	Ewsr1
Cluster 4	Extl3
Cluster 4	Fads6
Cluster 4	Fam129b
Cluster 4	Fam168b
Cluster 4	Fam219b
Cluster 4	Fcho1
Cluster 4	Fchsd1
Cluster 4	Fermt3
Cluster 4	Fgd3
Cluster 4	Fsd1
Cluster 4	Fus
Cluster 4	Gal3st3
Cluster 4	Gar1
Cluster 4	Gas6
Cluster 4	Gfod1
Cluster 4	Gmppb
Cluster 4	Gpaa1
Cluster 4	Gpd1l
Cluster 4	Gpr107
Cluster 4	Gramd1a
Cluster 4	Gtf2h4
Cluster 4	Gucd1
Cluster 4	Hdac10
Cluster 4	Hexim1
Cluster 4	Hk2
Cluster 4	Hm13
Cluster 4	Hmha1
Cluster 4	Hpca
Cluster 4	Hsd3b7
Cluster 4	Hyal1
Cluster 4	Idua
Cluster 4	Igsf8
Cluster 4	Ip6k1
Cluster 4	Irf8
Cluster 4	Itm2c
Cluster 4	Itpk1
Cluster 4	Jak3
Cluster 4	Kat2a
Cluster 4	Kcnab3
Cluster 4	Kcnip3
Cluster 4	Kcnj10
Cluster 4	Kcnj9
Cluster 4	Kcnn1
Cluster 4	Kctd21
Cluster 4	Kdm4b
Cluster 4	Kif19
Cluster 4	Kif3c
Cluster 4	Kifc2
Cluster 4	Kpna6
Cluster 4	Krt2
Cluster 4	Kti12
Cluster 4	Ldlr
Cluster 4	Leng8
Cluster 4	Limd2
Cluster 4	Lime1
Cluster 4	Lingo3
Cluster 4	Lipe
Cluster 4	LOC100365008
Cluster 4	LOC500956
Cluster 4	Mad1l1
Cluster 4	Man2b1
Cluster 4	Man2c1
Cluster 4	Map2k7
Cluster 4	Mapk11
Cluster 4	Mcf2l
Cluster 4	Mcrs1
Cluster 4	Mfn2
Cluster 4	Mfsd10
Cluster 4	Mfsd4
Cluster 4	Mgll
Cluster 4	Mical2
Cluster 4	Mief1
Cluster 4	Mir124-1
Cluster 4	Mir138-1
Cluster 4	Moap1
Cluster 4	Mon1a
Cluster 4	Mon1b
Cluster 4	Morn1
Cluster 4	Mrgpre
Cluster 4	Mrm1
Cluster 4	Mroh1
Cluster 4	Mrpl43
Cluster 4	Mutyh
Cluster 4	Mxd1
Cluster 4	Myo1c
Cluster 4	Myrip
Cluster 4	Ncs1
Cluster 4	Ncstn
Cluster 4	Nelfb
Cluster 4	Neurl2
Cluster 4	Nle1
Cluster 4	Nr1h2
Cluster 4	Nr2c2ap
Cluster 4	Nt5m
Cluster 4	Nuak1
Cluster 4	Nucb1
Cluster 4	Ormdl3
Cluster 4	Pafah2
Cluster 4	Pank4
Cluster 4	Paqr7
Cluster 4	Paqr8
Cluster 4	Pcyt2
Cluster 4	Pde1b
Cluster 4	Pfas
Cluster 4	Pfkfb3
Cluster 4	Pfkfb4
Cluster 4	Pgpep1
Cluster 4	Phgdh
Cluster 4	Pick1
Cluster 4	Pigt
Cluster 4	Pip4k2b
Cluster 4	Plcb3
Cluster 4	Pld3
Cluster 4	Plk5
Cluster 4	Ppm1f
Cluster 4	Ppp1r16b
Cluster 4	Ppp2r2c
Cluster 4	Ppp2r5b
Cluster 4	Ppp5c
Cluster 4	Ppp6r2
Cluster 4	Prmt2
Cluster 4	Prune
Cluster 4	Ptk7
Cluster 4	Rab3il1
Cluster 4	Rab40c
Cluster 4	Rbck1
Cluster 4	Rcc1
Cluster 4	Rcn3
Cluster 4	Repin1
Cluster 4	Rfng
Cluster 4	RGD1304884
Cluster 4	RGD1309821
Cluster 4	RGD1359127
Cluster 4	RGD1561676
Cluster 4	Rgs14
Cluster 4	Rnf123
Cluster 4	Rnf43
Cluster 4	Rnf5
Cluster 4	Rpusd3
Cluster 4	Rrnad1
Cluster 4	Rrp9
Cluster 4	RT1-CE4
Cluster 4	Scarb1
Cluster 4	Scn2b
Cluster 4	Scrn2
Cluster 4	Scyl1
Cluster 4	Sec14l5
Cluster 4	Selo
Cluster 4	Sema4d
Cluster 4	Sertad3
Cluster 4	Sh3gl1
Cluster 4	Shc1
Cluster 4	Shisa4
Cluster 4	Shmt2
Cluster 4	Slc16a11
Cluster 4	Slc16a13
Cluster 4	Slc17a7
Cluster 4	Slc26a10
Cluster 4	Slc2a6
Cluster 4	Slc35c2
Cluster 4	Slc39a11
Cluster 4	Slc52a2
Cluster 4	Slc6a7
Cluster 4	Snrk
Cluster 4	Snurf
Cluster 4	Snx8
Cluster 4	Sox8
Cluster 4	Spata13
Cluster 4	Spns1
Cluster 4	Sprn
Cluster 4	Srpk3
Cluster 4	Ss18l1
Cluster 4	St8sia5
Cluster 4	Stat6
Cluster 4	Strada
Cluster 4	Stxbp2
Cluster 4	Svop
Cluster 4	Syt13
Cluster 4	Taf6l
Cluster 4	Taf8
Cluster 4	Tapbp
Cluster 4	Tarbp2
Cluster 4	Tas1r1
Cluster 4	Tbc1d10a
Cluster 4	Tgfbr2
Cluster 4	Tmem120b
Cluster 4	Tmem143
Cluster 4	Tmem161a
Cluster 4	Tmem214
Cluster 4	Tmem38a
Cluster 4	Tmem59l
Cluster 4	Tom1l2
Cluster 4	Tp53i13
Cluster 4	Tppp
Cluster 4	Tradd
Cluster 4	Trafd1
Cluster 4	Trpm2
Cluster 4	Tspan14
Cluster 4	Ttll12
Cluster 4	Tubg1
Cluster 4	Twf2
Cluster 4	Txlna
Cluster 4	Unc13a
Cluster 4	Unc45a
Cluster 4	Usf1
Cluster 4	Usp22
Cluster 4	Usp5
Cluster 4	Vangl2
Cluster 4	Vmac
Cluster 4	Vps52
Cluster 4	Xrcc1
Cluster 4	Xylt2
Cluster 4	Zbtb17
Cluster 4	Zbtb49
Cluster 4	Zc3h10
Cluster 4	Zdhhc1
Cluster 4	Zfpl1
Cluster 4	Zgpat
Cluster 4	Zhx2
Cluster 5	Actr5
Cluster 5	Adam19
Cluster 5	Adra1d
Cluster 5	Ago1
Cluster 5	Ago2
Cluster 5	Ajap1
Cluster 5	Akap12
Cluster 5	Akap5
Cluster 5	Alk
Cluster 5	Amigo2
Cluster 5	Ankrd9
Cluster 5	Anp32b
Cluster 5	Arf5
Cluster 5	Arhgap21
Cluster 5	Arhgap26
Cluster 5	Arhgef11
Cluster 5	Arhgef18
Cluster 5	Arhgef19
Cluster 5	Arhgef25
Cluster 5	Arid1a
Cluster 5	Arid5b
Cluster 5	Arl8a
Cluster 5	Asic1
Cluster 5	Asic2
Cluster 5	Aspdh
Cluster 5	Atp11a
Cluster 5	Atp2b4
Cluster 5	Atxn1
Cluster 5	Azin2
Cluster 5	B4galt2
Cluster 5	Bag3
Cluster 5	Basp1
Cluster 5	Baz2a
Cluster 5	Bbc3
Cluster 5	Bbs1
Cluster 5	Bcl6
Cluster 5	Bcl7c
Cluster 5	Bmp1
Cluster 5	Brd1
Cluster 5	Brpf1
Cluster 5	Bspry
Cluster 5	Btbd17
Cluster 5	C1qtnf5
Cluster 5	C2cd2l
Cluster 5	Cacna1a
Cluster 5	Cacng8
Cluster 5	Calml4
Cluster 5	Camk2n1
Cluster 5	Capns1
Cluster 5	Capsl
Cluster 5	Caskin2
Cluster 5	Cbfa2t2
Cluster 5	Cblb
Cluster 5	Cbll1
Cluster 5	Cbln1
Cluster 5	Cbx7
Cluster 5	Ccdc146
Cluster 5	Ccdc19
Cluster 5	Ccdc33
Cluster 5	Ccdc34
Cluster 5	Ccdc40
Cluster 5	Cckbr
Cluster 5	Ccnk
Cluster 5	Cdc34
Cluster 5	Cdh13
Cluster 5	Cdkn1a
Cluster 5	Cdkn1c
Cluster 5	Cdyl
Cluster 5	Cfap126
Cluster 5	Chpf
Cluster 5	Chrm5
Cluster 5	Chst1
Cluster 5	Cit
Cluster 5	Ckap4
Cluster 5	Clec2l
Cluster 5	Clk2
Cluster 5	Cnih3
Cluster 5	Cnnm1
Cluster 5	Col8a1
Cluster 5	Cpped1
Cluster 5	Crabp1
Cluster 5	Crebbp
Cluster 5	Crh
Cluster 5	Csf1
Cluster 5	Csk
Cluster 5	Ctbp1
Cluster 5	Ctdsp1
Cluster 5	Cxxc5
Cluster 5	Dab1
Cluster 5	Dapk1
Cluster 5	Dbp
Cluster 5	Dda1
Cluster 5	Dennd1a
Cluster 5	Dgkg
Cluster 5	Diaph1
Cluster 5	Dleu7
Cluster 5	Dnah1
Cluster 5	Dnali1
Cluster 5	Dnm3
Cluster 5	Dynlrb2
Cluster 5	Dyrk3
Cluster 5	E2f1
Cluster 5	Efnb3
Cluster 5	Eif4g3
Cluster 5	Elfn1
Cluster 5	Enah
Cluster 5	Enpp2
Cluster 5	Ets2
Cluster 5	Evl
Cluster 5	F5
Cluster 5	F8a1
Cluster 5	Fam101b
Cluster 5	Fam117a
Cluster 5	Fam134a
Cluster 5	Fam168a
Cluster 5	Fam19a5
Cluster 5	Fam207a
Cluster 5	Fam89a
Cluster 5	Farp1
Cluster 5	Fbll1
Cluster 5	Fbxl13
Cluster 5	Fbxo32
Cluster 5	Fbxo42
Cluster 5	Fbxw4
Cluster 5	Fgfbp3
Cluster 5	Fign
Cluster 5	Fkrp
Cluster 5	Flnc
Cluster 5	Flrt1
Cluster 5	Flrt2
Cluster 5	Fndc3a
Cluster 5	Fndc5
Cluster 5	Foxn3
Cluster 5	Foxo1
Cluster 5	Fxr2
Cluster 5	Gab1
Cluster 5	Gabbr2
Cluster 5	Gal3st1
Cluster 5	Galnt16
Cluster 5	Gas7
Cluster 5	Gata2
Cluster 5	Gatad2b
Cluster 5	Gbf1
Cluster 5	Gdf10
Cluster 5	Gfra2
Cluster 5	Ghrl
Cluster 5	Gins2
Cluster 5	Gli1
Cluster 5	Gli3
Cluster 5	Glis2
Cluster 5	Gnao1
Cluster 5	Golga2
Cluster 5	Gpr153
Cluster 5	Gpr162
Cluster 5	Gpr75
Cluster 5	Grik5
Cluster 5	Grin2c
Cluster 5	Gsk3b
Cluster 5	Hbb
Cluster 5	Hcn2
Cluster 5	Hdac4
Cluster 5	Helz
Cluster 5	Hes1
Cluster 5	Hnrnpul1
Cluster 5	Hnrnpul2
Cluster 5	Hrk
Cluster 5	Iffo2
Cluster 5	Igf2
Cluster 5	Igfbp5
Cluster 5	Ina
Cluster 5	Ino80d
Cluster 5	Inpp5a
Cluster 5	Iqcg
Cluster 5	Iqsec3
Cluster 5	Irf2
Cluster 5	Irf2bp1
Cluster 5	Jph3
Cluster 5	Jund
Cluster 5	Kazn
Cluster 5	Kbtbd11
Cluster 5	Kcnb1
Cluster 5	Kcnc1
Cluster 5	Kcne2
Cluster 5	Kcnj11
Cluster 5	Kcnj12
Cluster 5	Kcnj13
Cluster 5	Kcnj16
Cluster 5	Kcnj6
Cluster 5	Kctd15
Cluster 5	Kctd17
Cluster 5	Kdm2a
Cluster 5	Kdm2b
Cluster 5	Kdm4a
Cluster 5	Keap1
Cluster 5	Kif1c
Cluster 5	Klf12
Cluster 5	Klf13
Cluster 5	Klf16
Cluster 5	Klf5
Cluster 5	Kmt2e
Cluster 5	Krt8
Cluster 5	Lats2
Cluster 5	Lgi4
Cluster 5	Lhx2
Cluster 5	Lig1
Cluster 5	Litaf
Cluster 5	Lmod1
Cluster 5	LOC287167
Cluster 5	LOC294154
Cluster 5	LOC502684
Cluster 5	LOC652956
Cluster 5	LOC689226
Cluster 5	LOC689574
Cluster 5	Lpar1
Cluster 5	Lrp10
Cluster 5	Lrp3
Cluster 5	Lrrc34
Cluster 5	Lrrc73
Cluster 5	Lrrc8b
Cluster 5	Lsm2
Cluster 5	Ltbr
Cluster 5	Lyrm7
Cluster 5	Mafg
Cluster 5	Map3k9
Cluster 5	Map4
Cluster 5	Map4k4
Cluster 5	Map6
Cluster 5	Map7d1
Cluster 5	Mapkap1
Cluster 5	Mapt
Cluster 5	March9
Cluster 5	Mb21d2
Cluster 5	Mbd3
Cluster 5	Meaf6
Cluster 5	Mecp2
Cluster 5	Med19
Cluster 5	Mesdc1
Cluster 5	Metrn
Cluster 5	Mgat4b
Cluster 5	Mib1
Cluster 5	Mlec
Cluster 5	Mns1
Cluster 5	Mpnd
Cluster 5	Msl1
Cluster 5	Msl3l2
Cluster 5	Myo10
Cluster 5	Mypop
Cluster 5	N4bp1
Cluster 5	Naf1
Cluster 5	Ncoa6
Cluster 5	Ncor1
Cluster 5	Necab2
Cluster 5	Nefh
Cluster 5	Nefm
Cluster 5	Nkain3
Cluster 5	Nmb
Cluster 5	Npepl1
Cluster 5	Nr2f2
Cluster 5	Nr2f6
Cluster 5	Nt5dc3
Cluster 5	Ntrk2
Cluster 5	Ocel1
Cluster 5	Odf3b
Cluster 5	Olfm1
Cluster 5	Opa3
Cluster 5	Orai1
Cluster 5	Orai2
Cluster 5	Pabpn1
Cluster 5	Pacrg
Cluster 5	Pbx2
Cluster 5	Pcdh19
Cluster 5	Pcdh8
Cluster 5	Pcdhga11
Cluster 5	Pcdhga9
Cluster 5	Pced1b
Cluster 5	Pclo
Cluster 5	Peak1
Cluster 5	Peli2
Cluster 5	Pex26
Cluster 5	Pgp
Cluster 5	Pgrmc2
Cluster 5	Phactr2
Cluster 5	Phc2
Cluster 5	Phf2
Cluster 5	Phlda1
Cluster 5	Phlpp1
Cluster 5	Phyhip
Cluster 5	Pi4k2a
Cluster 5	Pigq
Cluster 5	Pik3r1
Cluster 5	Plagl1
Cluster 5	Plekhh1
Cluster 5	Plekhh3
Cluster 5	Pllp
Cluster 5	Pmepa1
Cluster 5	Pnrc1
Cluster 5	Pom121
Cluster 5	Ppap2c
Cluster 5	Ppapdc1a
Cluster 5	Ppfia1
Cluster 5	Ppm1h
Cluster 5	Ppm1l
Cluster 5	Ppp1r10
Cluster 5	Ppp1r12b
Cluster 5	Ppp1r12c
Cluster 5	Ppp1r32
Cluster 5	Ppp6r1
Cluster 5	Prdm11
Cluster 5	Prkaca
Cluster 5	Prkca
Cluster 5	Prrc2c
Cluster 5	Ptov1
Cluster 5	Pxmp4
Cluster 5	Pygo2
Cluster 5	R3hdm1
Cluster 5	R3hdm2
Cluster 5	Rab22a
Cluster 5	Rad23a
Cluster 5	Rad54l2
Cluster 5	Rai2
Cluster 5	Ralgps2
Cluster 5	Rap1gap2
Cluster 5	Rap2a
Cluster 5	Rasgrp1
Cluster 5	Rasip1
Cluster 5	Rasl10a
Cluster 5	Rbm22
Cluster 5	Rbm46
Cluster 5	Rbpms2
Cluster 5	Rere
Cluster 5	Rest
Cluster 5	Rftn1
Cluster 5	Rfx2
Cluster 5	RGD1302996
Cluster 5	RGD1305455
Cluster 5	RGD1305464
Cluster 5	RGD1306233
Cluster 5	RGD1560108
Cluster 5	RGD1560672
Cluster 5	RGD1561149
Cluster 5	RGD1562865
Cluster 5	RGD1564171
Cluster 5	RGD1564664
Cluster 5	Rgs7bp
Cluster 5	Rhob
Cluster 5	Rims1
Cluster 5	Rmrp
Cluster 5	Rnd2
Cluster 5	Rnf150
Cluster 5	Rnf216
Cluster 5	Rnf26
Cluster 5	Rnf39
Cluster 5	Rnps1
Cluster 5	Rom1
Cluster 5	Rp9
Cluster 5	Rpl8
Cluster 5	Rps6ka1
Cluster 5	Rps6ka2
Cluster 5	Rrs1
Cluster 5	Rsb66
Cluster 5	Rsph1
Cluster 5	Rundc3a
Cluster 5	Runx1t1
Cluster 5	Rxrb
Cluster 5	Sall3
Cluster 5	Satb1
Cluster 5	Satb2
Cluster 5	Scgb1c1
Cluster 5	Sema3f
Cluster 5	Sema4g
Cluster 5	Serpinh1
Cluster 5	Sertad2
Cluster 5	Sf1
Cluster 5	Sf3b2
Cluster 5	Sfswap
Cluster 5	Sft2d3
Cluster 5	Sgsm1
Cluster 5	Sh2b2
Cluster 5	Sik3
Cluster 5	Sipa1l1
Cluster 5	Sipa1l3
Cluster 5	Slain1
Cluster 5	Slc12a5
Cluster 5	Slc13a3
Cluster 5	Slc15a3
Cluster 5	Slc25a28
Cluster 5	Slc25a29
Cluster 5	Slc32a1
Cluster 5	Slc35c1
Cluster 5	Slc4a8
Cluster 5	Slc6a8
Cluster 5	Smad4
Cluster 5	Smap2
Cluster 5	Smarcc1
Cluster 5	Smim17
Cluster 5	Smim22
Cluster 5	Sos1
Cluster 5	Sox17
Cluster 5	Spag6
Cluster 5	Spef1
Cluster 5	Spint2
Cluster 5	Spns2
Cluster 5	Sptbn4
Cluster 5	Srd5a3
Cluster 5	Srf
Cluster 5	Srgap1
Cluster 5	Srm
Cluster 5	Srrm1
Cluster 5	Srrm2
Cluster 5	Srrm3
Cluster 5	Srsf2
Cluster 5	Ssbp3
Cluster 5	Sstr3
Cluster 5	Stim1
Cluster 5	Stk11
Cluster 5	Stox2
Cluster 5	Syn2
Cluster 5	Syt6
Cluster 5	Tac3
Cluster 5	Tacc2
Cluster 5	Tacr1
Cluster 5	Taf3
Cluster 5	Tcerg1l
Cluster 5	Tcf3
Cluster 5	Tcf7l2
Cluster 5	Tcte1
Cluster 5	Tgfbi
Cluster 5	Thsd1
Cluster 5	Timp1
Cluster 5	Timp2
Cluster 5	Timp3
Cluster 5	Tmem106c
Cluster 5	Tmem150b
Cluster 5	Tmem170b
Cluster 5	Tmem200c
Cluster 5	Tmem231
